,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
1,NA,193,1,Sri Lanka,Mumbai,2/4/2011,bat,Sri Lanka,Wankhede Stadium,India,Sri Lanka,49.6,262,6,2,1,3,12,274,3,0,1,1,1,0,6
2,NA,193,2,India,Mumbai,2/4/2011,bat,Sri Lanka,Wankhede Stadium,India,Sri Lanka,48.2,262,8,0,1,6,15,277,1,1,1,1,0,0,4
3,NA,275,1,England,London,28-06-2011,field,Sri Lanka,Kennington Oval,England,Sri Lanka,31.6,210,10,1,1,7,19,229,5,0,0,3,0,0,8
4,NA,275,2,Sri Lanka,London,28-06-2011,field,Sri Lanka,Kennington Oval,England,Sri Lanka,26.6,111,8,0,0,2,10,121,7,1,0,1,0,1,10
5,NA,276,1,Sri Lanka,Leeds,1/7/2011,field,England,Headingley,England,Sri Lanka,49.6,293,11,0,0,5,16,309,1,0,0,0,2,2,5
6,NA,276,2,England,Leeds,1/7/2011,field,England,Headingley,England,Sri Lanka,45.5,233,6,0,0,1,7,240,6,0,2,0,0,2,10
7,NA,277,1,England,London,3/7/2011,bat,England,Lord's,England,Sri Lanka,49.6,237,5,0,4,0,9,246,4,0,1,1,1,0,7
8,NA,277,2,Sri Lanka,London,3/7/2011,bat,England,Lord's,England,Sri Lanka,48.2,224,18,0,0,7,25,249,2,0,1,1,0,0,4
9,NA,278,1,Sri Lanka,Nottingham,6/7/2011,field,England,Trent Bridge,England,Sri Lanka,43.4,164,5,0,0,5,10,174,6,1,1,2,0,0,10
10,NA,278,2,England,Nottingham,6/7/2011,field,England,Trent Bridge,England,Sri Lanka,23.5,167,4,0,0,0,4,171,0,0,0,0,0,0,0
11,NA,279,1,England,Manchester,9/7/2011,bat,England,Old Trafford,England,Sri Lanka,49.7,246,15,0,1,6,22,268,4,0,2,0,1,2,9
12,NA,279,2,Sri Lanka,Manchester,9/7/2011,bat,England,Old Trafford,England,Sri Lanka,48.2,239,4,0,0,9,13,252,6,0,2,0,1,1,10
13,NA,280,1,India,Chester-le-Street,3/9/2011,field,England,Riverside Ground,England,India,49.6,266,3,0,0,5,8,274,5,0,2,0,0,0,8
14,NA,280,2,England,Chester-le-Street,3/9/2011,field,England,Riverside Ground,England,India,7.2,26,0,0,0,1,1,27,0,0,1,1,0,0,2
15,NA,281,1,India,Southampton,6/9/2011,field,England,The Rose Bowl,England,India,22.6,181,4,0,0,2,6,187,6,1,0,0,1,0,8
16,NA,281,2,England,Southampton,6/9/2011,field,England,The Rose Bowl,England,India,22.1,184,2,0,0,2,4,188,2,0,0,1,0,0,3
17,NA,282,1,India,London,9/9/2011,field,England,Kennington Oval,England,India,49.7,217,10,0,0,7,17,234,5,0,1,0,1,0,7
18,NA,282,2,England,London,9/9/2011,field,England,Kennington Oval,England,India,41.5,210,3,0,2,3,8,218,0,0,5,1,1,0,7
19,NA,283,1,India,London,11/9/2011,field,England,Lord's,England,India,49.6,262,13,0,0,5,18,280,3,1,0,1,0,0,5
20,NA,283,2,England,London,11/9/2011,field,England,Lord's,England,India,48.5,262,2,1,0,5,8,270,4,1,2,0,1,0,8
21,NA,284,1,India,Cardiff,16-09-2011,field,England,Sophia Gardens,England,India,49.9,286,6,0,1,11,18,304,4,0,1,0,0,0,6
22,NA,284,2,England,Cardiff,16-09-2011,field,England,Sophia Gardens,England,India,32.2,238,1,1,0,1,3,241,2,0,1,1,0,0,4
23,NA,289,1,England,Dublin,25-08-2011,field,Ireland,Clontarf Cricket Club Ground,Ireland,England,41.6,195,5,0,0,1,6,201,6,2,0,0,0,0,8
24,NA,289,2,Ireland,Dublin,25-08-2011,field,Ireland,Clontarf Cricket Club Ground,Ireland,England,22.6,111,4,0,1,1,6,117,5,0,2,0,1,0,8
25,NA,293,1,West Indies,St Lucia,23-04-2011,bat,West Indies,"Beausejour Stadium, Gros Islet",West Indies,Pakistan,49.6,191,17,3,0,10,30,221,3,0,0,1,2,0,6
26,NA,293,2,Pakistan,St Lucia,23-04-2011,bat,West Indies,"Beausejour Stadium, Gros Islet",West Indies,Pakistan,41.3,210,11,1,0,0,12,222,1,0,0,0,0,1,2
27,NA,294,1,West Indies,St Lucia,25-04-2011,field,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,Pakistan,49.6,195,7,1,0,17,25,220,4,1,2,2,1,0,10
28,NA,294,2,Pakistan,St Lucia,25-04-2011,field,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,Pakistan,47.6,217,3,2,0,1,6,223,1,0,0,0,1,1,3
29,NA,295,1,West Indies,Barbados,28-04-2011,field,Pakistan,"Kensington Oval, Bridgetown",West Indies,Pakistan,43.4,160,3,1,1,6,11,171,4,1,1,2,1,1,10
30,NA,295,2,Pakistan,Barbados,28-04-2011,field,Pakistan,"Kensington Oval, Bridgetown",West Indies,Pakistan,40.1,164,10,1,2,0,13,177,5,0,1,1,0,0,7
31,NA,296,1,Pakistan,Barbados,2/5/2011,field,West Indies,"Kensington Oval, Bridgetown",West Indies,Pakistan,49.6,241,5,1,0,1,7,248,4,0,3,0,2,0,9
